Gene,Transcript ID,Global Frequency,Present in Transcripts,Sum or Abundance RPKM,Mean,SD
MALT1,ENST00000648670,1,MALT1_ENST00000648670,0.00,50.00,4.32
C4A,ENST00000492958,8,C4A_ENST00000492958-C4B_ENST00000478388-C4A_ENST00000471624-C4B_ENST00000464996-C4A_ENST00000478025-C4A_ENST00000490545-C4B_ENST00000485815-C4B_ENST00000496668,0.12,56.96,2.52
CUL3,ENST00000264414,1,CUL3_ENST00000264414,22.24,,Fitting failed: Negative mean or mean not greater than standard deviation
ABCC8,ENST00000682110,35,ABCC8_ENST00000302539-ABCC8_ENST00000644675-ABCC8_ENST00000646003-ABCC8_ENST00000647013-ABCC8_ENST00000644447-ABCC8_ENST00000642579-ABCC8_ENST00000643260-ABCC8_ENST00000644542-ABCC8_ENST00000645884-ABCC8_ENST00000644757-ABCC8_ENST00000647086-ABCC8_ENST00000647158-ABCC8_ENST00000531911-ABCC8_ENST00000646276-ABCC8_ENST00000645744-ABCC8_ENST00000646592-ABCC8_ENST00000642611-ABCC8_ENST00000647015-ABCC8_ENST00000643925-ABCC8_ENST00000646207-ABCC8_ENST00000684332-ABCC8_ENST00000684371-ABCC8_ENST00000682110-ABCC8_ENST00000684157-ABCC8_ENST00000682442-ABCC8_ENST00000683365-ABCC8_ENST00000684555-ABCC8_ENST00000684288-ABCC8_ENST00000683522-ABCC8_ENST00000682051-ABCC8_ENST00000683456-ABCC8_ENST00000683377-ABCC8_ENST00000684010-ABCC8_ENST00000684442-ABCC8_ENST00000682288,0.00,62.00,3.16
IL4R,ENST00000563787,1,IL4R_ENST00000563787,2.81,62.83,3.39
HP,ENST00000562526,1,HP_ENST00000562526,0.00,45.00,3.74
ZEB2,ENST00000630572,1,ZEB2_ENST00000630572,0.00,62.00,4.32
ERCC2,ENST00000684407,2,ERCC2_ENST00000682508-ERCC2_ENST00000684407,0.00,69.00,3.74
HLA-DPB1,ENST00000447674,7,HLA-DPB1_ENST00000416804-HLA-DPB1_ENST00000432661-HLA-DPB1_ENST00000411722-HLA-DPB1_ENST00000455122-HLA-DPB1_ENST00000458614-HLA-DPB1_ENST00000445925-HLA-DPB1_ENST00000447674,0.00,50.00,3.16
SLC30A8,ENST00000524274,1,SLC30A8_ENST00000524274,0.00,45.00,4.90
CD46,ENST00000695786,2,CD46_ENST00000695786-CD46_ENST00000695783,0.00,,Not enough GC content data points for fitting
HLA-A,ENST00000454091,2,HLA-A_ENST00000456012-HLA-A_ENST00000454091,0.00,46.00,10.10
PARP1,ENST00000463968,4,PARP1_ENST00000498787-PARP1_ENST00000463968-PARP1_ENST00000677815-PARP1_ENST00000679276,0.36,46.55,3.32
WT1,ENST00000526685,1,WT1_ENST00000526685,0.00,48.00,6.63
CD55,ENST00000645323,1,CD55_ENST00000645323,27.92,67.39,4.29
ITGB2,ENST00000523323,1,ITGB2_ENST00000523323,0.00,77.00,2.58
BID,ENST00000342111,1,BID_ENST00000342111,0.40,,Fitting failed: Negative mean or mean not greater than standard deviation
ITCH,ENST00000670516,1,ITCH_ENST00000670516,1.39,58.77,8.59
KCNQ2,ENST00000627221,2,KCNQ2_ENST00000344462-KCNQ2_ENST00000627221,0.00,60.00,4.32
ATG16L1,ENST00000630093,2,ATG16L1_ENST00000472242-ATG16L1_ENST00000630093,1.02,40.12,5.86
FOLH1,ENST00000529646,1,FOLH1_ENST00000529646,0.00,39.00,4.90
LMNA,ENST00000498722,1,LMNA_ENST00000498722,3.69,55.61,4.91
TCF4,ENST00000635990,1,TCF4_ENST00000635990,0.00,40.00,8.94
SHBG,ENST00000624152,1,SHBG_ENST00000624152,0.00,50.00,5.48
GC,ENST00000504199,1,GC_ENST00000504199,0.00,43.38,9.03
MSH6,ENST00000700003,1,MSH6_ENST00000700003,0.00,47.00,3.74
IQGAP1,ENST00000561086,1,IQGAP1_ENST00000561086,1.45,46.67,7.13
GHRL,ENST00000430179,2,GHRL_ENST00000430179-GHRL_ENST00000457360,0.00,69.00,4.90
UBE2I,ENST00000397514,3,UBE2I_ENST00000397514-UBE2I_ENST00000473256-UBE2I_ENST00000568209,29.98,70.45,2.20
PTPN6,ENST00000536013,2,PTPN6_ENST00000542848-PTPN6_ENST00000536013,0.00,63.00,2.58
ATXN3,ENST00000556274,3,ATXN3_ENST00000556898-ATXN3_ENST00000556274-ATXN3_ENST00000556288,0.00,46.00,5.48
MX1,ENST00000468506,1,MX1_ENST00000468506,0.96,53.60,4.87
CD46,ENST00000695779,1,CD46_ENST00000695779,0.00,,Below k-mer threshold: no fitting performed
CP,ENST00000497797,1,CP_ENST00000497797,0.42,36.39,5.87
IL7R,ENST00000515665,1,IL7R_ENST00000515665,0.70,55.08,0.81
PDCD4,ENST00000444997,1,PDCD4_ENST00000444997,7.19,39.77,4.39
PDPK1,ENST00000474706,1,PDPK1_ENST00000474706,0.00,73.00,4.90
TRPV4,ENST00000676376,1,TRPV4_ENST00000676376,0.00,59.00,6.06
HLA-C,ENST00000383323,3,HLA-C_ENST00000383323-HLA-C_ENST00000383487-HLA-C_ENST00000458192,0.00,52.00,3.16
BID,ENST00000622694,2,BID_ENST00000622694-BID_ENST00000614949,18.49,83.67,1.63
ATF2,ENST00000417080,1,ATF2_ENST00000417080,1.00,,Fitting failed: Negative mean or mean not greater than standard deviation
COL18A1,ENST00000710295,1,COL18A1_ENST00000710295,0.13,76.81,0.89
MFN2,ENST00000676293,1,MFN2_ENST00000676293,0.00,45.00,3.74
CYBA,ENST00000563526,2,CYBA_ENST00000566534-CYBA_ENST00000563526,4.71,63.40,4.84
UMOD,ENST00000573567,1,UMOD_ENST00000573567,0.00,59.00,3.74
PMS2,ENST00000699932,4,PMS2_ENST00000699753-PMS2_ENST00000699763-PMS2_ENST00000699932-PMS2_ENST00000699828,3.12,58.92,1.56
TNFSF12,ENST00000462811,1,TNFSF12_ENST00000462811,0.00,55.00,2.58
CSNK2B,ENST00000375882,17,CSNK2B_ENST00000375882-CSNK2B_ENST00000383433-CSNK2B_ENST00000452985-CSNK2B_ENST00000454382-CSNK2B_ENST00000443673-CSNK2B_ENST00000422567-CSNK2B_ENST00000451917-CSNK2B_ENST00000615772-CSNK2B_ENST00000615589-CSNK2B_ENST00000612713-CSNK2B_ENST00000621953-CSNK2B_ENST00000613998-CSNK2B_ENST00000614783-CSNK2B_ENST00000611721-CSNK2B_ENST00000619468-CSNK2B_ENST00000617578-CSNK2B_ENST00000621623,0.40,,Below k-mer threshold: no fitting performed
ITGA3,ENST00000505612,2,ITGA3_ENST00000505612-ITGA3_ENST00000506401,3.83,60.34,3.61
HLA-DPB1,ENST00000476677,1,HLA-DPB1_ENST00000476677,1.18,66.41,2.77
TCF4,ENST00000457482,2,TCF4_ENST00000457482-TCF4_ENST00000630720,0.00,37.00,15.30
NR4A2,ENST00000700228,1,NR4A2_ENST00000700228,0.42,57.86,5.64
SMN2,ENST00000617648,5,SMN2_ENST00000617648-SMN2_ENST00000625462-SMN1_ENST00000627306-SMN1_ENST00000507905-SMN2_ENST00000511873,0.00,42.00,13.56
WT1,ENST00000650986,2,WT1_ENST00000650986-WT1_ENST00000650745,0.00,43.00,2.58
SPP1,ENST00000683168,2,SPP1_ENST00000682448-SPP1_ENST00000683168,0.63,60.06,1.70
HNRNPA2B1,ENST00000678431,5,HNRNPA2B1_ENST00000677396-HNRNPA2B1_ENST00000676746-HNRNPA2B1_ENST00000678935-HNRNPA2B1_ENST00000678431-HNRNPA2B1_ENST00000678884,0.83,31.96,3.63
COL1A2,ENST00000478215,1,COL1A2_ENST00000478215,0.00,48.00,12.41
ACTB,ENST00000645025,2,ACTB_ENST00000477812-ACTB_ENST00000645025,0.00,,Not enough GC content data points for fitting
HLA-DPB1,ENST00000445702,7,HLA-DPB1_ENST00000415438-HLA-DPB1_ENST00000428835-HLA-DPB1_ENST00000445702-HLA-DPB1_ENST00000456386-HLA-DPB1_ENST00000418444-HLA-DPB1_ENST00000402095-HLA-DPB1_ENST00000441678,0.00,61.00,4.90
RAF1,ENST00000689540,2,RAF1_ENST00000689540-RAF1_ENST00000691899,1.06,60.16,4.49
CCND2,ENST00000676411,1,CCND2_ENST00000676411,0.37,60.44,10.39
PTK2,ENST00000510126,1,PTK2_ENST00000510126,10.50,58.92,9.99
FOXM1,ENST00000627656,1,FOXM1_ENST00000627656,4.57,60.47,7.80
PLCE1,ENST00000675718,1,PLCE1_ENST00000675718,5.98,31.96,16.40
NR1H4,ENST00000648861,2,NR1H4_ENST00000648861-NR1H4_ENST00000649582,0.00,45.00,9.52
KAT5,ENST00000534104,1,KAT5_ENST00000534104,0.00,71.00,2.58
ZEB2,ENST00000629520,2,ZEB2_ENST00000476394-ZEB2_ENST00000629520,0.00,,Not enough GC content data points for fitting
AGER,ENST00000375055,7,AGER_ENST00000375076-AGER_ENST00000375055-AGER_ENST00000375070-AGER_ENST00000375069-AGER_ENST00000484849-AGER_ENST00000438221-AGER_ENST00000538695,0.00,,Not enough GC content data points for fitting
MAD2L1,ENST00000511295,1,MAD2L1_ENST00000511295,0.47,31.36,4.82
CRHR1,ENST00000705345,1,CRHR1_ENST00000705345,0.00,47.00,8.37
CTBP1,ENST00000510739,1,CTBP1_ENST00000510739,0.00,67.00,4.90
RAF1,ENST00000687257,10,RAF1_ENST00000688625-RAF1_ENST00000687923-RAF1_ENST00000690397-RAF1_ENST00000693069-RAF1_ENST00000688803-RAF1_ENST00000685437-RAF1_ENST00000692093-RAF1_ENST00000691779-RAF1_ENST00000688543-RAF1_ENST00000687257,1.58,41.28,1.70
ACTN4,ENST00000697712,1,ACTN4_ENST00000697712,0.13,62.00,0.24
GRN,ENST00000587387,1,GRN_ENST00000587387,0.00,55.00,3.74
STUB1,ENST00000567790,1,STUB1_ENST00000567790,0.00,63.00,4.90
NOTCH1,ENST00000680882,1,NOTCH1_ENST00000680882,0.23,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
PTHLH,ENST00000535992,1,PTHLH_ENST00000535992,0.00,70.00,8.94
AGT,ENST00000681514,1,AGT_ENST00000681514,0.00,52.00,7.79
SMAD4,ENST00000690892,1,SMAD4_ENST00000690892,1.90,35.01,5.91
SMN1,ENST00000628353,5,SMN1_ENST00000506163-SMN2_ENST00000626847-SMN1_ENST00000626580-SMN2_ENST00000628642-SMN1_ENST00000628353,1.59,39.84,3.53
GNAS,ENST00000676826,2,GNAS_ENST00000481768-GNAS_ENST00000676826,0.00,,Below k-mer threshold: no fitting performed
CR2,ENST00000485707,1,CR2_ENST00000485707,0.23,43.78,5.22
PTK2,ENST00000523388,1,PTK2_ENST00000523388,2.16,36.67,6.23
CD247,ENST00000700163,1,CD247_ENST00000700163,0.00,49.00,2.58
JAK1,ENST00000699313,2,JAK1_ENST00000699311-JAK1_ENST00000699313,0.00,44.00,4.32
MUC2,ENST00000361558,1,MUC2_ENST00000361558,44.99,49.83,6.21
CYP2D6,ENST00000612990,3,CYP2D6_ENST00000628592-CYP2D6_ENST00000615454-CYP2D6_ENST00000612990,0.00,55.00,3.74
ICAM1,ENST00000588645,1,ICAM1_ENST00000588645,0.00,65.00,7.21
NOTCH4,ENST00000466682,1,NOTCH4_ENST00000466682,0.01,63.05,0.12
LRP6,ENST00000535731,2,LRP6_ENST00000535731-LRP6_ENST00000626182,0.31,51.85,3.09
SOD2,ENST00000401980,1,SOD2_ENST00000401980,1.37,69.31,2.83
TCF7L2,ENST00000369397,3,TCF7L2_ENST00000277945-TCF7L2_ENST00000355995-TCF7L2_ENST00000369397,1.73,,Fitting failed: Negative mean or mean not greater than standard deviation
HSP90B1,ENST00000681704,3,HSP90B1_ENST00000552051-HSP90B1_ENST00000680478-HSP90B1_ENST00000681704,0.84,40.24,12.37
CD163,ENST00000432237,1,CD163_ENST00000432237,0.00,,Below k-mer threshold: no fitting performed
RELA,ENST00000534558,1,RELA_ENST00000534558,0.00,72.00,7.79
HFE,ENST00000352392,1,HFE_ENST00000352392,0.00,64.00,6.63
MYOC,ENST00000037502,1,MYOC_ENST00000037502,0.21,55.28,5.48
NRP1,ENST00000374821,1,NRP1_ENST00000374821,0.07,60.67,2.16
CTSS,ENST00000483930,1,CTSS_ENST00000483930,37.32,56.03,1.63
PROC,ENST00000431364,2,PROC_ENST00000427769-PROC_ENST00000431364,0.00,62.00,5.48
HMBS,ENST00000536813,1,HMBS_ENST00000536813,0.00,56.00,4.32
AGO2,ENST00000517293,1,AGO2_ENST00000517293,0.00,52.00,5.48
PTP4A3,ENST00000707615,3,PTP4A3_ENST00000523147-PTP4A3_ENST00000633262-PTP4A3_ENST00000707615,0.00,68.00,3.16
NR3C2,ENST00000503174,1,NR3C2_ENST00000503174,0.54,,Fitting failed: Negative mean or mean not greater than standard deviation
DTNBP1,ENST00000513680,2,DTNBP1_ENST00000506844-DTNBP1_ENST00000513680,0.78,50.34,3.40
CACNA1C,ENST00000710605,2,CACNA1C_ENST00000684233-CACNA1C_ENST00000710605,0.40,45.67,6.23
TUG1,ENST00000643071,3,TUG1_ENST00000643877-TUG1_ENST00000643280-TUG1_ENST00000643071,2.94,45.38,1.23
MBP,ENST00000355994,2,MBP_ENST00000355994-MBP_ENST00000382582,0.00,,Below k-mer threshold: no fitting performed
PLCE1,ENST00000687948,1,PLCE1_ENST00000687948,47.40,85.80,22.34
GLI3,ENST00000643264,1,GLI3_ENST00000643264,0.02,46.60,3.11
STAT1,ENST00000540176,2,STAT1_ENST00000673841-STAT1_ENST00000540176,0.00,,Below k-mer threshold: no fitting performed
TFRC,ENST00000698283,2,TFRC_ENST00000698275-TFRC_ENST00000698283,9.30,62.75,2.60
NDRG1,ENST00000523642,1,NDRG1_ENST00000523642,3.55,61.14,6.14
MUC4,ENST00000612476,26,MUC4_ENST00000308466-MUC4_ENST00000339251-MUC4_ENST00000349607-MUC4_ENST00000346145-MUC4_ENST00000392407-MUC4_ENST00000478156-MUC4_ENST00000415455-MUC4_ENST00000448861-MUC4_ENST00000626113-MUC4_ENST00000627218-MUC4_ENST00000626364-MUC4_ENST00000630917-MUC4_ENST00000627017-MUC4_ENST00000628456-MUC4_ENST00000628931-MUC4_ENST00000631078-MUC4_ENST00000627146-MUC4_ENST00000629873-MUC4_ENST00000626427-MUC4_ENST00000621966-MUC4_ENST00000626947-MUC4_ENST00000613841-MUC4_ENST00000612476-MUC4_ENST00000629826-MUC4_ENST00000626242-MUC4_ENST00000629801,0.00,,Below k-mer threshold: no fitting performed
ADAR,ENST00000647682,1,ADAR_ENST00000647682,0.63,,Fitting failed: Negative mean or mean not greater than standard deviation
IAPP,ENST00000537593,1,IAPP_ENST00000537593,0.00,35.00,4.90
XPO1,ENST00000492182,1,XPO1_ENST00000492182,1.34,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
ALOX15,ENST00000570836,1,ALOX15_ENST00000570836,0.00,51.00,3.74
DDR1,ENST00000482978,6,DDR1_ENST00000484230-DDR1_ENST00000460152-DDR1_ENST00000469592-DDR1_ENST00000474440-DDR1_ENST00000485023-DDR1_ENST00000482978,1.08,61.68,1.94
PRMT1,ENST00000534676,1,PRMT1_ENST00000534676,1.17,61.03,2.40
GP1BA,ENST00000329125,1,GP1BA_ENST00000329125,0.15,56.27,5.78
HTT,ENST00000512909,1,HTT_ENST00000512909,2.61,29.01,14.60
ERG,ENST00000398911,5,ERG_ENST00000398911-ERG_ENST00000398897-ERG_ENST00000398905-ERG_ENST00000442448-ERG_ENST00000481609,0.00,47.00,7.21
DDR1,ENST00000450117,5,DDR1_ENST00000416487-DDR1_ENST00000452093-DDR1_ENST00000450117-DDR1_ENST00000446697-DDR1_ENST00000513240,1.72,44.16,1.18
ALCAM,ENST00000489178,1,ALCAM_ENST00000489178,0.80,29.35,11.90
BCL2,ENST00000678134,1,BCL2_ENST00000678134,7.06,43.30,12.97
CFL1,ENST00000530413,1,CFL1_ENST00000530413,8.57,50.95,3.72
EGFR,ENST00000459688,1,EGFR_ENST00000459688,3.00,43.77,8.87
PGK1,ENST00000476531,1,PGK1_ENST00000476531,4.38,41.43,8.87
TSC2,ENST00000642365,2,TSC2_ENST00000642365-TSC2_ENST00000644399,0.29,59.51,3.07
MAPK8,ENST00000374189,2,MAPK8_ENST00000374182-MAPK8_ENST00000374189,0.41,45.29,2.77
AKT2,ENST00000584288,1,AKT2_ENST00000584288,0.00,54.00,3.16
SAA1,ENST00000405158,2,SAA1_ENST00000405158-SAA1_ENST00000672712,0.00,43.00,11.83
C4B,ENST00000548301,2,C4B_ENST00000375177-C4B_ENST00000548301,1.31,69.65,6.67
HDAC6,ENST00000697247,1,HDAC6_ENST00000697247,0.48,42.84,5.50
IL7R,ENST00000511982,1,IL7R_ENST00000511982,1.98,33.00,5.04
NFE2L2,ENST00000699344,2,NFE2L2_ENST00000699344-NFE2L2_ENST00000699411,0.00,,Not enough GC content data points for fitting
CYP19A1,ENST00000557858,2,CYP19A1_ENST00000405913-CYP19A1_ENST00000557858,0.00,45.00,6.06
F10,ENST00000375559,1,F10_ENST00000375559,1.19,79.92,16.69
DNMT1,ENST00000591239,4,DNMT1_ENST00000677783-DNMT1_ENST00000591239-DNMT1_ENST00000676820-DNMT1_ENST00000678024,2.49,59.27,6.44
BIN1,ENST00000409400,3,BIN1_ENST00000352848-BIN1_ENST00000409400-BIN1_ENST00000466111,2.72,,Fitting failed: Negative mean or mean not greater than standard deviation
MIF,ENST00000215754,2,MIF_ENST00000215754-MIF_ENST00000613839,32.67,,Fitting failed: Optimal parameters not found: Number of calls to function has reached maxfev = 9000.
ENPP1,ENST00000683687,1,ENPP1_ENST00000683687,0.16,32.74,6.22
MUC4,ENST00000628300,2,MUC4_ENST00000478685-MUC4_ENST00000628300,5.11,62.20,10.39
TRAF3,ENST00000699894,2,TRAF3_ENST00000699893-TRAF3_ENST00000699894,1.80,46.64,9.59
HLA-DQA1,ENST00000496318,1,HLA-DQA1_ENST00000496318,0.00,58.00,4.32
FOXP1,ENST00000648748,4,FOXP1_ENST00000491238-FOXP1_ENST00000649659-FOXP1_ENST00000649695-FOXP1_ENST00000648748,0.61,,Below k-mer threshold: no fitting performed
ATR,ENST00000661310,1,ATR_ENST00000661310,0.14,43.90,2.87
IKZF1,ENST00000698576,2,IKZF1_ENST00000641948-IKZF1_ENST00000698576,1.95,36.76,4.05
FGFR1,ENST00000683815,7,FGFR1_ENST00000397091-FGFR1_ENST00000496296-FGFR1_ENST00000447712-FGFR1_ENST00000619564-FGFR1_ENST00000703405-FGFR1_ENST00000684654-FGFR1_ENST00000683815,0.00,79.00,2.58
FGFR4,ENST00000502906,2,FGFR4_ENST00000292408-FGFR4_ENST00000502906,4.93,62.30,2.37
DLG1,ENST00000452595,1,DLG1_ENST00000452595,3.76,37.62,4.41
BTK,ENST00000695643,1,BTK_ENST00000695643,0.00,49.17,0.07
HLA-A,ENST00000551120,2,HLA-A_ENST00000551120-HLA-A_ENST00000552498,0.27,45.60,7.43
NPC1,ENST00000586718,1,NPC1_ENST00000586718,5.82,44.15,14.70
HAVCR2,ENST00000696898,1,HAVCR2_ENST00000696898,0.31,34.49,9.10
NEDD4L,ENST00000356462,1,NEDD4L_ENST00000356462,0.00,57.00,3.74
IL6ST,ENST00000381293,1,IL6ST_ENST00000381293,0.00,38.00,4.32
RXRA,ENST00000481739,1,RXRA_ENST00000481739,4.11,,Fitting failed: Negative mean or mean not greater than standard deviation
IRF1,ENST00000681197,1,IRF1_ENST00000681197,0.00,50.00,3.16
GPC3,ENST00000394299,1,GPC3_ENST00000394299,0.00,41.00,4.90
ALK,ENST00000431873,1,ALK_ENST00000431873,0.00,55.00,6.06
CLCN1,ENST00000495612,1,CLCN1_ENST00000495612,0.00,58.00,7.79
DMD,ENST00000481143,1,DMD_ENST00000481143,0.00,45.00,10.68
RIPK1,ENST00000677799,1,RIPK1_ENST00000677799,0.00,64.00,4.32
GHRL,ENST00000476283,1,GHRL_ENST00000476283,0.03,51.02,4.17
MUC4,ENST00000631351,28,MUC4_ENST00000475231-MUC4_ENST00000470451-MUC4_ENST00000462323-MUC4_ENST00000480843-MUC4_ENST00000629154-MUC4_ENST00000630579-MUC4_ENST00000628806-MUC4_ENST00000612796-MUC4_ENST00000628062-MUC4_ENST00000625421-MUC4_ENST00000626878-MUC4_ENST00000610962-MUC4_ENST00000630459-MUC4_ENST00000627236-MUC4_ENST00000631351-MUC4_ENST00000630183-MUC4_ENST00000627603-MUC4_ENST00000629021-MUC4_ENST00000631279-MUC4_ENST00000626318-MUC4_ENST00000627791-MUC4_ENST00000629594-MUC4_ENST00000631201-MUC4_ENST00000627295-MUC4_ENST00000630081-MUC4_ENST00000627334-MUC4_ENST00000629882-MUC4_ENST00000627165,2.24,,Fitting failed: Negative mean or mean not greater than standard deviation
CASP7,ENST00000369315,1,CASP7_ENST00000369315,13.58,56.19,9.23
BLM,ENST00000559282,1,BLM_ENST00000559282,0.00,32.00,7.79
HNF4A,ENST00000609262,1,HNF4A_ENST00000609262,1.69,61.49,7.82
